sector_code, sector_name           , industry_group_code, industry_group_name                             , industry_code, industry_name                                        , industry_description
         55, Utilities             ,                5510, Utilities                                       ,        551050, Independent Power and Renewable Electricity Producers, "Independent Power Producers & Energy Traders: Companies that operate as Independent Power Producers (IPPs), Gas & Power Marketing & Trading Specialists and/or Integrated Energy Merchants. Excludes producers of electricity using renewable sources, such as solar power, hydropower, and wind power. Also excludes electric transmission companies and utility distribution companies classified in the Electric Utilities Sub-Industry. | Renewable Electricity: Companies that engage in the generation and distribution of electricity using renewable sources, including, but not limited to, companies that produce electricity using biomass, geothermal energy, solar energy, hydropower, and wind power. Excludes companies manufacturing capital equipment used to generate electricity using renewable sources, such as manufacturers of solar power systems, installers of photovoltaic cells, and companies involved in the provision of technology, components, and services mainly to this market."
         60, Real Estate           ,                6010, Equity Real Estate Investment Trusts (REITs)    ,        601010, Diversified REITs                                    , Diversified REITs: A company or Trust with significantly diversified operations across two or more property types.
         60, Real Estate           ,                6010, Equity Real Estate Investment Trusts (REITs)    ,        601025, Industrial REITs                                     , "Industrial REITs: Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of industrial properties. Includes companies operating industrial warehouses and distribution properties."
         60, Real Estate           ,                6010, Equity Real Estate Investment Trusts (REITs)    ,        601030, Hotel & Resort REITs                                 , "Hotel & Resort REITs: Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of hotel and resort properties."
         60, Real Estate           ,                6010, Equity Real Estate Investment Trusts (REITs)    ,        601040, Office REITs                                         , "Office REITs: Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of office properties."
         60, Real Estate           ,                6010, Equity Real Estate Investment Trusts (REITs)    ,        601050, Health Care REITs                                    , "Health Care REITs: Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of properties serving the health care industry, including"
         60, Real Estate           ,                6010, Equity Real Estate Investment Trusts (REITs)    ,        601060, Residential REITs                                    , "Multi-Family Residential REITs: Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of apartments and other multi-family housing including student housing. | Single-Family Residential REITs: Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of single-family residential housing including manufactured homes."
         60, Real Estate           ,                6010, Equity Real Estate Investment Trusts (REITs)    ,        601070, Retail REITs                                         , "Retail REITs: Companies or Trusts engaged in the acquisition, development, ownership, leasing,management and operation of shopping malls, outlet malls, neighborhood and community shopping centers."
         60, Real Estate           ,                6010, Equity Real Estate Investment Trusts (REITs)    ,        601080, Specialized REITs                                    , "Other Specialized REITs: Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of properties not classified elsewhere. This Sub-Industry includes REITs that manage and own properties such as natural gas and crude oil pipelines, gas stations, fiber optic cables, prisons, automobile parking, and automobile dealerships. | Self-Storage REITs: Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of self storage properties | Telecom Tower REITs: Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of telecom towers and related structures that support wireless telecommunications. | Timber REITs: Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of timberland and timber-related properties. | Data Center REITs: Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of data center properties."
         60, Real Estate           ,                6020, Real Estate Management & Development            ,        602010, Real Estate Management & Development                 , "Diversified Real Estate Activities: Companies engaged in a diverse spectrum of real estate activities including real estate development & sales, real estate management, or real estate services, but with no dominant business line. | Real Estate Operating Companies: Companies engaged in operating real estate properties for the purpose of leasing & management, including real estate property managers. | Real Estate Development: Companies that develop real estate and sell the properties after development, including developers of active senior communities. | Real Estate Services: Real estate service providers such as real estate agents, brokers, real estate appraisers and other real estate related services."
