sector_code, sector_name           , industry_group_code, industry_group_name                             , industry_code, industry_name                                        , industry_description
         20, Industrials           ,                2020, Commercial  & Professional Services             ,        202010, Commercial Services & Supplies                       , "Commercial Printing: Companies providing commercial printing services. Includes printers primarily serving the media industry. | Environmental & Facilities Services: Companies providing environmental and facilities maintenance services. Includes waste management, facilities management and pollution control services.  Excludes large-scale water treatment systems classified in the Water Utilities Sub-Industry. | Office Services & Supplies: Providers of office services and manufacturers of office supplies and equipment not classified elsewhere. | Diversified Support Services: Companies primarily providing labor oriented support services to businesses and governments.  Includes commercial cleaning services, dining & catering services, equipment repair services, industrial maintenance services, industrial auctioneers, storage & warehousing, transaction services, uniform rental services, and other business support services. | Security & Alarm Services: Companies providing security and protection services to business and governments. Includes companies providing services such as correctional facilities, security & alarm services, armored transportation & guarding.  Excludes companies providing security software classified under the Systems Software Sub-Industry and home security services classified under the Specialized Consumer Services Sub-Industry. Also excludes companies manufacturing security system equipment classified under the Electronic Equipment & Instruments Sub-Industry."
         20, Industrials           ,                2020, Commercial  & Professional Services             ,        202020, Professional Services                                , "Human Resource & Employment Services: Companies providing business support services relating to human capital management. This Sub-Industry includes employment agencies, employee training, payroll processing, benefit & retirement support services, corporate & job seeker recruitment services, and online job portals generating revenue from fees or commissions for offering recruitment services to companies or job seekers. | Research & Consulting Services: Companies primarily providing research and consulting services to businesses and governments not classified elsewhere.  Includes companies involved in management consulting services, architectural design, business information or scientific research, marketing, and testing & certification services. Excludes companies providing information technology consulting services classified in the IT Consulting & Other Services Sub-Industry. | Data Processing & Outsourced Services: Providers of commercial data processing and/or business process outsourcing services. This Sub- Industry includes companies providing services for customer experience management, back-office automation, call center management, and investor communications."
         20, Industrials           ,                2030, Transportation                                  ,        203010, Air Freight & Logistics                              , "Air Freight & Logistics: Companies providing air freight transportation, courier and logistics services, including package and mail delivery and customs agents. Excludes those companies classified in the Airlines, Marine or Trucking Sub-Industries."
         20, Industrials           ,                2030, Transportation                                  ,        203020, Passenger Airlines                                   , Passenger Airlines: Companies providing primarily passenger air transportation.
         20, Industrials           ,                2030, Transportation                                  ,        203030, Marine Transportation                                , "Marine Transportation: Companies providing goods or passenger maritime transportation. Excludes cruise-ships classified in the Hotels, Resorts & Cruise Lines Sub-Industry."
         20, Industrials           ,                2030, Transportation                                  ,        203040, Ground Transportation                                , "Rail Transportation: Companies providing primarily goods and passenger rail  transportation. | Cargo Ground Transportation: Companies providing air freight transportation, courier & logistics services, including package & mail delivery and customs agents. This Sub-Industry excludes companies classified in the Passenger Airlines, Marine Transportation, Cargo Ground Transportation and Passenger Ground Transportation Sub-Industries. | Passenger Ground Transportation: Companies providing passenger ground transportation and related services, including bus, taxi, vehicle rental, ride sharing and on-demand ride sharing platforms, and other passenger logistics."
         20, Industrials           ,                2030, Transportation                                  ,        203050, Transportation Infrastructure                        , "Airport Services: Operators of airports and companies providing related services such as air traffic control and other support activities for air transportation. | Highways & Railtracks: Owners and operators of roads, tunnels and railtracks, including companies providing support activities for road transportation. | Marine Ports & Services: Owners and operators of marine ports, including companies providing support activities for marine transportation."
         25, Consumer Discretionary,                2510, Automobiles & Components                        ,        251010, Automobile Components                                , Automotive Parts & Equipment: Manufacturers of parts and accessories for  automobiles and motorcycles. Excludes companies classified in the Tires & Rubber Sub-Industry. | Tires & Rubber: Manufacturers of tires and rubber.
         25, Consumer Discretionary,                2510, Automobiles & Components                        ,        251020, Automobiles                                          , "Automobile Manufacturers: Companies that produce mainly passenger automobiles and light trucks. Excludes companies producing mainly motorcycles and three-wheelers classified in the Motorcycle Manufacturers Sub-Industry and heavy duty trucks classified in the Construction Machinery & Heavy Trucks Sub-Industry. | Motorcycle Manufacturers: Companies that produce motorcycles, scooters or three-wheelers. Excludes bicycles classified in the Leisure Products Sub-Industry."
         25, Consumer Discretionary,                2520, Consumer Durables & Apparel                     ,        252010, Household Durables                                   , "Consumer Electronics: Manufacturers of consumer electronics products including TVs, home audio equipment, game consoles, digital cameras, and related products. Excludes personal home computer manufacturers classified in the Technology Hardware, Storage & Peripherals Sub-Industry, and electric household appliances classified in the Household Appliances Sub-Industry. | Home Furnishings: Manufacturers of soft home furnishings or furniture, including upholstery, carpets and wall-coverings. | Homebuilding: Residential construction companies that mainly build residential units such as homes, apartments, and condominiums for the purpose of selling to homeowners. | Household Appliances: Manufacturers of electric household appliances and related products.  Includes manufacturers of power and hand tools, including garden improvement tools.  Excludes TVs and other audio and video products classified in the Consumer Electronics Sub-Industry and personal computers classified in the Technology Hardware, Storage & Peripherals Sub-Industry. | Housewares & Specialties: Manufacturers of durable household products, including cutlery, cookware, glassware, crystal, silverware, utensils, kitchenware and consumer specialties not classified elsewhere."
         25, Consumer Discretionary,                2520, Consumer Durables & Apparel                     ,        252020, Leisure Products                                     , "Leisure Products: Manufacturers of leisure products and equipment, including sports equipment, bicycles, toys, and arcade game equipment."
         25, Consumer Discretionary,                2520, Consumer Durables & Apparel                     ,        252030, "Textiles, Apparel & Luxury Goods"                   , "Apparel, Accessories & Luxury Goods: Manufacturers of apparel, accessories & luxury goods. Includes companies primarily producing designer handbags, wallets, luggage, jewelry and watches. Excludes shoes classified in the Footwear Sub-Industry. | Footwear: Manufacturers of footwear. Includes sport and leather shoes. | Textiles: Manufacturers of textile and related products not classified in the Apparel, Accessories & Luxury Goods, Footwear or Home Furnishings Sub-Industries."
         25, Consumer Discretionary,                2530, Consumer Services                               ,        253010, "Hotels, Restaurants & Leisure"                      , "Casinos & Gaming: Owners and operators of casinos & gaming facilities and resorts. | Hotels, Resorts & Cruise Lines: Owners and operators of hotels, resorts and cruise-ships. Includes travel agencies, tour operators and related services not classified elsewhere . Excludes casino-hotels classified in the Casinos & Gaming Sub-Industry. | Leisure Facilities: Owners and operators of leisure facilities, including sport and fitness centers, stadiums, golf courses and amusement parks not classified in the Movies & Entertainment Sub-Industry. | Restaurants: Owners and operators of restaurants, bars, pubs, fast-food or take-out facilities. Includes companies that provide food catering services."
         25, Consumer Discretionary,                2530, Consumer Services                               ,        253020, Diversified Consumer Services                        , "Education Services: Companies providing educational services, either on-line or through conventional teaching methods. Includes, private universities, correspondence teaching, providers of educational seminars, educational materials and technical education. Excludes companies providing employee education programs classified in the Human Resources & Employment Services Sub-Industry | Specialized Consumer Services: Companies providing consumer services such as home security services, consumer legal services, personal care services, residential renovation & interior design services, consumer auctions, day care centers and wedding & funeral services."
         25, Consumer Discretionary,                2550, Consumer Discretionary Distribution & Retail    ,        255010, Distributors                                         , "Distributors: Distributors and wholesalers of consumer merchandise, not classified elsewhere, including automobile distributors."
         25, Consumer Discretionary,                2550, Consumer Discretionary Distribution & Retail    ,        255030, Broadline Retail                                     , "Broadline Retail: Retailers offering a wide range of consumer discretionary merchandise. This Sub-Industry includes general and discount merchandise retailers, department stores and on-line retailers and marketplaces selling mostly consumer discretionary merchandise."
         25, Consumer Discretionary,                2550, Consumer Discretionary Distribution & Retail    ,        255040, Specialty Retail                                     , "Apparel Retail: Retailers of apparel, footwear, luggage and other accessories. | Computer & Electronics Retail: Retailers of consumer electronics, computers, smartphones, and related products. | Home Improvement Retail: Retailers of home & garden improvement products, including building materials and related supplies. | Other Specialty Retail: Retailers of other consumer products, not classified elsewhere, such as jewelry, perfumes, cosmetics, toys, office supplies, health & vision care products, books and other entertainment products. | Automotive Retail: Retailers of automotives. | Homefurnishing Retail: Retailers of furniture and home furnishing products, including residential furniture, housewares, and interior design."
         30, Consumer Staples      ,                3010, Consumer Staples Distribution & Retail          ,        301010, Consumer Staples Distribution & Retail               , "Drug Retail: Retailers of drugs including operators of pharmacies. | Food Distributors: Distributors of food products to other companies and not directly to the consumer. | Food Retail: Retailers of food products. | Consumer Staples Merchandise Retail: Owners and operators of hypermarkets and super centers selling food and a wide-range of consumer staple products.  Excludes Food and Drug Retailers classified in the Food Retail and Drug Retail Sub-Industries, respectively."
         30, Consumer Staples      ,                3020, "Food, Beverage & Tobacco"                      ,        302010, Beverages                                            , "Brewers: Producers of beer and malt liquors. Includes breweries not classified in the Restaurants Sub-Industry. | Distillers & Vintners: Distillers, vintners and producers of alcoholic beverages not classified in the Brewers Sub-Industry. | Soft Drinks & Non-alcoholic Beverages: Producers of non-alcoholic beverages including mineral waters, sodas and natural bottled water."
         30, Consumer Staples      ,                3020, "Food, Beverage & Tobacco"                      ,        302020, Food Products                                        , "Agricultural Products & Services: Producers of agricultural products. Includes crop growers, owners of plantations and companies that produce and process foods but do not package and market them. Excludes companies classified in the Forest Products Sub-Industry and those that package and market the food products classified in the Packaged Foods Sub-Industry. | Packaged Foods & Meats: Producers of packaged foods including dairy products, coffee, tea, fruit juices, meats, poultry, fish, and pet & fish food."
         30, Consumer Staples      ,                3020, "Food, Beverage & Tobacco"                      ,        302030, Tobacco                                              , Tobacco: Manufacturers of cigarettes and other tobacco products such as e-cigarettes.
         30, Consumer Staples      ,                3030, Household & Personal Products                   ,        303010, Household Products                                   , "Household Products: Producers of non-durable household products, including detergents, household cleaners & disinfectants and other tissue & household paper products, not classified in the Paper Products Sub-Industry."
         30, Consumer Staples      ,                3030, Household & Personal Products                   ,        303020, Personal Care Products                               , "Personal Care Products: Manufacturers of personal and beauty care products, including cosmetics, perfumes, toiletries, diapers, hygiene products, vitamins, dietary supplements and other herbal & holistic medicines."
         35, Health Care           ,                3510, Health Care Equipment & Services                ,        351010, Health Care Equipment & Supplies                     , "Health Care Equipment: Manufacturers of health care equipment and devices. Includes medical instruments, drug delivery systems, cardiovascular & orthopedic devices, and diagnostic equipment. | Health Care Supplies: Manufacturers of health care supplies and medical products that tend to be disposable."
         35, Health Care           ,                3510, Health Care Equipment & Services                ,        351020, Health Care Providers & Services                     , "Health Care Distributors: Distributors and wholesalers of health care products not classified elsewhere. | Health Care Services: Providers of patient health care services not classified elsewhere. Includes dialysis centers, lab testing services, and pharmacy management services. Also includes companies providing business support services to health care providers, such as clerical support services, collection agency services, staffing services and outsourced sales & marketing services | Health Care Facilities: Owners and operators of health care facilities, including hospitals, nursing homes, rehabilitation centers and animal hospitals. | Managed Health Care: Owners and operators of Health Maintenance Organizations (HMOs) and other managed plans. These companies derive premium revenues from risk-based health insurance arrangements and include Preferred Provider Organizations (PPOs), Consumer Driven Health Plans (CDHPs), Health Maintenance Organizations (HMOs) and Point-of-Service (POS) plans. It also includes health and dental benefit plans."
